ID,AnnualIncome,EmploymentStatus,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved,Age,CreditScore,EducationLevel,LoanAmount,MaritalStatus,HomeOwnershipStatus,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore,Experience,ApplicationDate,Monthlyincome,Monthlyloanpyament,Totaldebttoincomeratio
A001,39948,Employed,48,2,183,1,0,0,9,1202,19183,126928,0,45,617,Master,13152,Married,Own,35.4,2,Home,29,7632,146111,11,22.75,49.0,22.0,2018-01-01,3329.0,419.7415497833288,18.105784012716395
A002,39709,Employed,48,1,496,5,0,0,9,3460,9595,43609,0,38,628,Associate,26045,Single,Mortgage,8.78,3,Debt Consolidation,21,4627,53204,3,20.1,51.0,15.0,2018-01-02,3309.0833333333335,793.9471134093426,38.98200750689292
A003,40724,Employed,36,2,902,2,0,0,22,895,128874,5205,0,47,570,Bachelor,17627,Married,Rent,13.7,0,Education,20,886,25176,6,21.25,51.0,26.0,2018-01-03,3393.6666666666665,666.3631536832577,46.21441372212723
A004,69084,Employed,96,1,755,2,0,0,10,1217,5370,99452,0,58,545,High School,37898,Single,Mortgage,2.67,1,Home,27,1675,104822,5,30.09,54.0,34.0,2018-01-04,5757.0,1047.4782828552413,31.309332688123003
A005,103264,Employed,36,1,274,0,0,0,27,4981,17286,227019,1,37,594,Associate,9184,Married,Mortgage,3.2,0,Debt Consolidation,26,1555,244305,5,17.59,36.0,17.0,2018-01-05,8605.333333333334,330.1377267982427,7.0205034877391075
A006,178310,Self-Employed,72,0,732,5,0,1,19,1223,40843,27071,1,37,626,Master,15433,Married,Rent,10.2,1,Debt Consolidation,16,2118,67914,5,21.76,44.0,16.0,2018-01-06,14859.166666666666,385.576018922806,7.521121769431705
A007,51250,Employed,48,0,337,6,0,0,18,1735,43894,21730,0,58,564,High School,12741,Married,Rent,3.67,1,Other,21,5161,65624,5,20.52,50.0,39.0,2018-01-07,4270.833333333333,391.2519359082958,17.051752645657658
A008,97345,Employed,12,5,288,5,0,0,11,74,11556,38621,1,49,516,High School,19634,Divorced,Mortgage,20.9,0,Other,19,781,50177,5,20.91,42.0,23.0,2018-01-08,8112.083333333333,1827.3478625606206,26.076505573709433
A009,116841,Employed,60,5,638,3,1,0,29,708,49940,7711,0,34,603,Bachelor,55353,Divorced,Own,1.92,0,Debt Consolidation,25,1157,29632,3,29.15,61.0,12.0,2018-01-09,9736.75,1762.065987079244,24.649559525295857
A010,40615,Employed,12,4,704,3,0,0,10,446,12852,116812,0,46,612,Associate,25443,Married,Other,5.12,2,Other,23,1028,129664,3,19.72,53.0,19.0,2018-01-10,3384.5833333333335,2353.4915181823553,90.33583212652533
A011,73646,Employed,84,3,267,4,0,0,7,3875,20315,128651,0,34,478,Associate,48716,Single,Own,21.1,1,Auto,25,9266,148966,4,33.35,47.0,10.0,2018-01-11,6137.166666666667,1504.321362333616,28.8622007278106
A012,15000,Employed,24,2,295,5,0,0,28,348,3353,29709,0,34,591,Bachelor,30088,Married,Mortgage,3.12,1,Home,21,259,33062,3,18.24,56.0,11.0,2018-01-12,1250.0,1505.6077840083747,144.04862272066998
A013,74453,Employed,60,1,258,6,0,0,7,1633,35493,5231,0,42,573,Bachelor,16154,Married,Rent,527.0,0,Debt Consolidation,26,781,16204,5,25.56,56.0,21.0,2018-01-13,6204.416666666667,479.4593911941122,11.886039104306537
A014,100508,Employed,60,1,247,5,0,1,3,916,99030,82783,0,18,580,Associate,20439,Married,Rent,16.8,2,Other,20,2027,181813,6,24.53,63.0,0.0,2018-01-14,8375.666666666666,594.2929444722192,10.044489327880996
A015,47624,Employed,36,1,196,2,0,0,21,576,9418,35918,0,19,597,Bachelor,27197,Married,Mortgage,11.4,1,Debt Consolidation,15,2971,45336,3,20.22,58.0,0.0,2018-01-15,3968.6666666666665,1013.7892279256827,30.483518257828386
A016,56650,Employed,36,1,336,4,0,0,15,131,11144,250291,1,33,605,Doctorate,12652,Single,Mortgage,4.23,0,Auto,21,242,261435,2,21.64,33.0,11.0,2018-01-16,4720.833333333333,480.832503650713,17.302718523933905
A017,50042,Employed,60,1,680,6,0,0,14,1219,89196,7021,0,27,582,Doctorate,19105,Single,Rent,10.3,3,Debt Consolidation,36,2214,11162,5,18.71,53.0,7.0,2018-01-17,4170.166666666667,492.5506517917846,28.117596861639054
A018,142326,Employed,96,2,772,1,0,0,2,856,4213,69623,1,43,644,Bachelor,13499,Widowed,Mortgage,22.2,2,Other,18,13247,73836,5,22.37,39.0,24.0,2018-01-18,11860.5,303.11295988328783,9.06465123631624
A019,16021,Employed,72,0,286,5,0,1,12,1127,25345,3933,0,29,553,High School,14655,Single,Rent,5.56,1,Debt Consolidation,25,8651,29278,4,23.47,59.0,8.0,2018-01-19,1335.0833333333333,381.1183106163682,49.96828991571325
A020,34698,Employed,60,3,755,5,0,0,29,2098,72605,55430,0,23,594,Associate,14314,Widowed,Mortgage,18.7,0,Debt Consolidation,27,3721,128035,5,23.14,48.0,0.0,2018-01-20,2891.5,404.6705883430152,40.1061936137996
A021,106749,Employed,48,0,1059,0,0,0,14,4304,8152,204416,1,57,630,Master,15698,Single,Rent,13.2,1,Auto,21,1686,212568,4,20.44,32.0,30.0,2018-01-21,8895.75,481.3836286891205,17.3159500737894
A022,59138,Employed,72,0,564,2,0,0,9,5192,18681,5576,0,37,594,Associate,13205,Married,Own,3.93,1,Auto,18,1187,24257,4,21.14,51.0,14.0,2018-01-22,4928.166666666667,325.083307616145,18.040853074831308
A023,114216,Employed,60,3,571,3,0,0,2,2127,27250,2482,1,40,635,Doctorate,9809,Single,Rent,22.4,1,Home,26,720,23984,10,20.11,46.0,17.0,2018-01-23,9518.0,260.4792364566631,8.735860857918292
A024,63300,Employed,24,2,376,3,0,0,7,1735,53225,6903,0,22,503,Associate,16476,Married,Rent,3.89,1,Home,29,2154,14710,5,23.16,53.0,0.0,2018-01-24,5275.0,864.2119280621918,23.51112659833539
A025,39676,Employed,60,1,199,2,0,0,4,1085,76577,81172,0,33,555,Master,47795,Single,Other,3.46,1,Home,19,840,157749,4,25.34,60.0,12.0,2018-01-25,3306.3333333333335,1412.3894381857517,48.73644837742973
A026,59192,Unemployed,36,4,222,4,0,0,1,3449,9196,58413,0,41,594,High School,45608,Divorced,Mortgage,4.09,0,Auto,18,21084,67609,3,20.06,58.0,16.0,2018-01-26,4932.666666666667,1696.3513414368551,38.890755671783786
A027,15059,Employed,24,3,443,2,0,0,25,7335,13107,16754,0,26,462,Associate,20240,Single,Other,9.88,0,Home,16,713,29861,12,24.6,51.0,0.0,2018-01-27,1254.9166666666667,1076.1817642010042,121.05837818189819
A028,15305,Self-Employed,48,4,443,1,0,0,29,979,7005,9931,0,44,608,Bachelor,21452,Single,Mortgage,11.1,1,Home,21,9547,16936,2,22.53,51.0,23.0,2018-01-28,1275.4166666666667,682.0559347257757,88.21085407846658
A029,35498,Employed,36,0,698,2,0,0,17,205,31484,2705,0,32,622,Master,11136,Married,Own,3.9,0,Home,18,1346,34189,3,16.48,48.0,10.0,2018-01-29,2958.1666666666665,394.15281171623815,36.91992151838092
A030,60227,Employed,84,3,458,3,0,0,28,1993,35773,105395,1,36,576,Bachelor,25264,Divorced,Own,2.78,1,Home,27,5391,141168,5,23.91,36.0,14.0,2018-01-30,5018.916666666667,621.9728642800267,21.518047339831504
A031,23861,Self-Employed,36,0,521,2,0,0,27,1072,8627,76539,0,32,592,High School,19570,Married,Other,2.32,3,Auto,29,3348,85166,8,19.7,55.0,10.0,2018-01-31,1988.4166666666667,724.3033492460783,62.62788730963889
A032,73843,Unemployed,60,1,388,7,1,0,3,3352,90622,3068,0,62,667,Master,44668,Single,Other,29.5,2,Home,16,17023,56887,5,23.46,62.0,37.0,2018-02-01,6153.583333333333,1271.0451739087428,26.96063551982573
A033,61099,Employed,84,0,380,1,0,0,19,1795,23540,46283,0,39,559,Bachelor,10094,Married,Mortgage,1.28,0,Auto,21,2987,69823,4,26.1,51.0,19.0,2018-02-02,5091.583333333333,262.6374655976678,12.621564325393239
A034,15000,Employed,120,2,721,2,0,0,18,3835,13680,290269,0,27,535,High School,11318,Single,Mortgage,5.82,3,Home,15,4172,303949,1,34.35,53.0,4.0,2018-02-03,1250.0,335.3175999818564,84.5054079985485
A035,34738,Employed,72,2,388,3,0,0,4,2757,10972,238326,0,49,520,Associate,10166,Single,Mortgage,5.66,3,Home,27,1767,249298,2,27.39,55.0,25.0,2018-02-04,2894.8333333333335,288.93858059806746,23.38437148706549
A036,85889,Employed,72,2,870,4,0,0,10,1110,5554,13345,0,25,571,Bachelor,24186,Married,Rent,33.1,0,Education,31,14921,18899,4,27.96,49.0,3.0,2018-02-05,7157.416666666667,696.1093094668108,21.88092970415505
A037,78701,Employed,60,1,482,6,0,0,19,1585,30154,140566,1,42,552,Associate,18326,Married,Rent,1.88,1,Home,25,463,170720,7,21.89,36.0,18.0,2018-02-06,6558.416666666667,504.9986960737878,15.049344167018784
A038,24914,Employed,36,4,327,1,0,0,28,199,8146,41853,1,18,604,Master,8015,Married,Mortgage,3.76,4,Auto,17,2612,49999,7,15.28,45.0,0.0,2018-02-07,2076.1666666666665,278.94286031404823,29.185655951547638
A039,57231,Unemployed,48,4,370,3,0,0,21,242,73682,140547,0,24,508,Associate,35876,Married,Rent,572.0,0,Auto,20,7737,214229,8,23.04,50.0,0.0,2018-02-08,4769.25,1150.6649736501117,31.88478217015488
A040,163303,Self-Employed,72,2,337,3,0,0,1,309,17900,97422,1,42,655,Bachelor,12850,Single,Other,35.7,0,Debt Consolidation,19,3012,115322,8,18.95,37.0,23.0,2018-02-09,13608.583333333334,300.0231520367158,4.681039432490885
